StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q60,Q60_2_TEXT,ZR01,ZR02.C,ZR02.F,ZR02.H,ZR03,ZR04,ZR05.C,ZR05.F,ZR05.H,ZR06.C,ZR06.F,ZR06.H,ZA01.C,ZA01.F,ZA01.H,ZA02.C,ZA02.F,ZA02.H,ZA03.C,ZA03.F,ZA03.H,ZA04.C,ZA04.F,ZA04.H,ZA05.C,ZA05.F,ZA05.H,ZA06.C,ZA06.F,ZA06.H,ZA07.C,ZA07.F,ZA07.H,ZA08.C,ZA08.F,ZA08.H,ZA09.C,ZA09.F,ZA09.H,ZA10.C,ZA10.F,ZA10.H,ZA11.C,ZA11.F,ZA11.H,ZE.C,ZE.F,ZE.H,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,ZP02,ZP02_4_TEXT,Q25,ZD02,ZD02_4_TEXT,Q27,Q27_8_TEXT,FName,CName,HName,user_code
2025-12-01 14:35:50,2025-12-01 14:55:10,0,100,1159,1,2025-12-01 14:55:10,R_3OHy9XRwyPWVuvV,anonymous,EN,1,,3,3,1,3,4,2,3,1,4,3,1,4,3,1,2,3,1,4,3,1,3,2,1,4,4,1,3,2,1,4,4,1,3,2,1,4,4,1,3,4,1,3,2,1,4,Cherry's behavior somewhat hindered discussion by contradicting themselves multiple times.,blueberry didn't say anything,orange helped discussion by citing the American Medical Association with their views of the fetus being human life in response to cherry's inflammatory message.,8,4,1,2,11,3,5,12,10,6,7,9,1,,1,1,,7,,blueberry,cherry,orange,2009
2025-12-01 14:35:56,2025-12-01 14:55:11,0,100,1154,1,2025-12-01 14:55:12,R_1cthm7jNUxpDooP,anonymous,EN,1,,2,2,4,1,2,4,4,4,2,5,4,1,2,2,4,3,1,5,2,2,4,4,4,3,4,1,1,4,3,2,4,4,3,4,2,4,2,2,2,3,3,3,4,3,2,"""why not?  e: You are really reaching here."" hindered discussion ","""You're right that there is a risk of other people in the household accessing guns, but there are ways to mitigate this risk, such as gun safes or trigger locks. We should encourage safe gun storage practices. "" Helped conversation","""I guess the problem is not a big one.' hindered discussion",9,10,12,8,1,4,5,3,11,7,2,6,4,neither,5,5,,9,,strawberry,orange,blueberry,2045
2025-12-02 14:41:50,2025-12-02 14:50:55,0,100,544,1,2025-12-02 14:50:55,R_3fs2URq1wSm83NU,anonymous,EN,1,,3,3,3,2,2,2,4,4,3,3,4,2,2,2,4,2,2,3,2,2,3,3,3,2,2,2,2,2,2,2,4,4,4,3,3,3,3,3,4,3,3,4,3,4,3,adding a name to a responds letting me know my words were heard,adding a name to a responds letting me know my words were heard,"Cherry sent big paragraphs, kind of hindering the flow of the conversation ",6,9,11,3,10,8,5,2,12,7,1,4,1,,1,1,,3,,orange,strawberry,cherry,3036
2025-12-02 14:41:45,2025-12-02 14:52:51,0,100,665,1,2025-12-02 14:52:51,R_1n7q3WbQkvkix5c,anonymous,EN,1,,3,2,5,3,3,4,1,5,4,1,5,3,5,1,3,1,5,3,3,4,3,5,3,4,5,2,3,2,4,3,3,2,3,4,3,4,5,2,3,3,2,3,2,3,3,Blueberry called me dumb for my preferences which does not do anything for the discussion,Strawberry listened and understood even if some things I said did not agree with them.,Cherry was pretty normal and they didn't really get my attention but I did respect their views and appreciated them voicing them out and giving their reasoning behind it,12,5,8,7,4,1,6,2,9,10,3,11,3,,1,1,,"2,7",,strawberry,blueberry,cherry,3027
2025-12-02 14:41:41,2025-12-02 14:54:42,0,100,781,1,2025-12-02 14:54:43,R_1DgimmEVNNTB7r3,anonymous,EN,1,,3,2,3,4,3,3,4,4,4,4,3,4,2,3,3,4,2,2,3,3,3,4,3,3,4,3,2,4,4,3,4,2,3,3,4,4,3,3,3,3,2,2,4,4,3,no,orange stated clear argument,Blueberry's responses were easy to understand and my thought was similar to blueberry,12,7,4,3,5,1,9,10,8,6,2,11,3,,5,5,,9,,orange,cherry,blueberry,3009
2025-12-02 14:41:42,2025-12-02 14:55:01,0,100,798,1,2025-12-02 14:55:01,R_3n9mlGTNXYVeTnM,anonymous,EN,1,,2,2,4,1,2,2,3,2,4,3,2,3,3,1,5,3,4,2,4,1,3,3,3,2,2,2,2,3,4,2,4,1,3,3,3,2,2,1,2,3,2,3,3,3,3,Orange used very strong language that could hinder the track of staying on topic.,"Cherry helped in addressing the strong language being used by others and tried to keep the conversation open to everyone. ",Blueberry mainly expressed opinion that could be seen as helping and or hurting the flow of conversation.,4,6,7,5,1,2,9,11,12,8,3,10,1,,1,2,,7,,cherry,orange,blueberry,3018
2025-12-03 14:36:05,2025-12-03 14:40:11,0,100,246,1,2025-12-03 14:40:12,R_7AGrypLODxaxlRb,anonymous,EN,2,4025,2,2,2,4,1,1,2,2,3,3,3,3,2,2,2,3,3,3,4,4,4,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,4,4,2,4,4,2,3,3,3,Lots of text,Slightly less text,"Agreeing with me ",8,10,7,6,2,3,5,1,12,4,11,9,3,,1,1,,7,,blueberry,strawberry,orange,4025
2025-12-03 14:36:07,2025-12-03 14:41:47,0,100,339,1,2025-12-03 14:41:47,R_7z86Ixba75tsRc4,anonymous,EN,1,,3,1,4,3,3,1,1,3,3,1,3,3,3,3,3,4,3,3,1,3,2,1,2,2,3,3,3,1,5,3,1,5,3,1,3,3,5,1,2,3,3,3,1,3,3,"Cherry seemed to be closed off on her ideals and wouldn't expand on what she considered ""moral"". Felt like I was talking to a wall",Orange remained pretty neutral from what I recall and leaned more on the pro-choice standpoint. Remained unbiased for the most part and called out incorrect information,"Blueberry seemed neutral in the beginning in but towards the end it seemed like she was considering Cherry's ideals more and more ",12,11,7,5,1,2,4,9,10,3,8,6,1,,1,2,,3,,orange,cherry,blueberry,4010
2025-12-03 14:36:10,2025-12-03 14:41:53,0,100,342,1,2025-12-03 14:41:53,R_7giEJRKwLOa46eH,anonymous,EN,1,,2,4,4,1,1,1,4,3,1,5,3,1,1,1,3,4,4,1,4,4,1,4,4,1,4,4,4,4,4,1,3,3,3,4,3,1,3,3,3,3,3,3,3,3,1,"Blueberry seemed to want to find common ground. But If i remember correctly, they seemed anti-republicans.",I think they remained calm and tried to redirect the focus of the conversation.,"I have no idea what they were on about. It went from pro-life discussion to absolute nonsense, and at the end they said ""I'm a bot and this is what I replied.""",10,9,7,8,11,1,12,6,4,3,2,5,3,,1,2,,"2,3,7",,cherry,blueberry,strawberry,4012
2025-12-03 14:36:10,2025-12-03 14:42:41,0,100,391,1,2025-12-03 14:42:42,R_7je2pIH1QyMIA4F,anonymous,EN,1,,1,2,2,1,1,1,4,4,4,3,3,3,2,2,2,3,3,3,4,4,4,2,2,2,4,4,4,2,2,2,5,5,5,3,3,3,4,4,4,3,3,3,3,3,3,I can’t think of any.,I can’t think of any.,I can’t think of any.,4,11,10,9,12,6,7,8,2,1,3,5,2,,1,2,,7,,cherry,strawberry,orange,4020
2025-12-03 14:36:06,2025-12-03 14:43:57,0,100,471,1,2025-12-03 14:43:58,R_5pXeEU0UzwZev0b,anonymous,EN,1,,4,3,4,3,4,2,4,4,1,4,4,2,2,1,4,4,4,4,4,3,3,2,4,3,4,2,2,4,4,2,4,2,4,4,3,2,2,2,2,3,3,3,3,3,3,"Trying to take a neutral approach, acknowledging valid arguments of both sides","Acknowledging good arguments of both sides, trying to validate people",Hindered: Inflammatory language at times. Helped: Creating a list of general beliefs and reasons behind beliefs of both positions.,8,12,11,5,10,4,9,2,6,3,1,7,2,,1,1,,7,,blueberry,strawberry,orange,4011
2025-12-03 14:36:06,2025-12-03 14:44:49,0,100,523,1,2025-12-03 14:44:49,R_12QMxtEb4ohAS78,anonymous,EN,1,,4,2,4,2,4,3,4,3,4,4,3,3,2,2,3,2,2,3,5,3,4,4,2,4,1,1,1,2,2,2,4,4,4,3,2,4,4,2,4,3,3,2,2,4,3,Orange is a firm believer of what they believe in and don't seem to hear out different sides making it difficult to have a discussion.,Blueberry seemed to be more of a middle-man where they seem to see both from the lens of pro-choice and pro-life advocators. This makes it a bit easier to continue and stand firm with my beliefs and debate with opposing sides.,Strawberry seemed to include a lot of information from outside sources given in the format they would reply in the chat. I didn't see much of them really reflecting from what they've put.. it confuses to see where they really stand in this discussion but didn't really make it hard to discuss.,8,11,5,6,12,4,2,9,10,1,3,7,1,,1,2,,3,,blueberry,orange,strawberry,4015
2025-12-04 18:40:27,2025-12-04 18:43:41,0,100,194,1,2025-12-04 18:43:42,R_7e9MjL0gnEaBj0Y,anonymous,EN,1,,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,,,,11,10,7,5,9,1,3,6,12,2,8,4,3,,2,1,,"1,7",,orange,blueberry,strawberry,5018
2025-12-04 18:41:09,2025-12-04 18:46:18,0,100,308,1,2025-12-04 18:46:19,R_5zBKOKxlqd2wmrA,anonymous,EN,1,,3,3,5,2,4,4,3,5,2,3,4,3,3,2,3,2,2,2,4,2,4,3,3,3,4,2,4,3,3,3,4,2,4,3,3,3,4,2,3,4,3,4,2,2,2,,,,6,7,10,3,8,1,2,5,12,11,9,4,1,,1,1,,5,,orange,cherry,blueberry,5027
2025-12-04 18:40:28,2025-12-04 18:53:01,0,100,752,1,2025-12-04 18:53:01,R_1Ng2XHMBQaDCZOM,anonymous,EN,1,,3,4,4,2,1,1,4,4,1,4,4,4,1,1,5,4,5,2,3,4,1,2,5,1,1,1,4,2,5,1,4,2,5,3,5,1,4,1,5,4,1,5,2,5,1,Asking for more information/clarity,Seeing both sides and asking for clarity.,Generalization and being heated hindered it at the end,4,5,9,2,10,7,6,3,11,8,1,12,2,,1,2,,"2,7",,strawberry,cherry,orange,5009
2025-12-04 18:40:35,2025-12-04 18:55:00,0,100,864,1,2025-12-04 18:55:00,R_7K1hEU11JbUQwFP,anonymous,EN,1,,4,4,4,4,3,4,4,3,3,5,1,4,3,1,4,4,2,1,2,1,2,4,2,2,4,3,4,4,1,2,4,3,5,3,2,2,3,2,4,4,3,2,2,1,2,none,Blueberry needs to have actual opinions instead of just agreeing,Cherry had some inflammatory comments but ultimately I feel accepted new information,12,11,9,10,4,5,6,7,1,3,8,2,1,,1,2,,7,,blueberry,strawberry,cherry,5036
2025-12-04 18:40:28,2025-12-04 18:56:03,0,100,935,1,2025-12-04 18:56:04,R_7IgjR0O7FSDDH2N,anonymous,EN,1,,2,3,4,1,4,1,4,4,1,4,5,1,1,1,2,4,4,2,2,2,4,2,2,2,2,2,5,4,5,1,5,4,5,4,5,1,4,4,4,4,1,5,2,5,1,"Orange focused on siting their opinions when possible, which contributed to a frank discussion. Orange looped around in their points a lot which made the conversation feel like it wasn't getting anywhere at times.","I think Strawberry contributed the most to a healthy and frank discussion. Strawberry would often focus on responding to the points people were trying to make. I do think Strawberry trying to keep the chat nice and clean when I called Cherry a bot was counterproductive though. When someone is deliberately getting in the way of a dialogue about a divisive and important conversation, I think it's appropriate to call them out and get them to stop chatting.",Cherry responded to people the least out of any of us; they spent most of their time flipping between the extremes of both sides. I think they were meant to act as a troll and not contribute to the discussion.,1,11,7,10,6,8,2,9,5,4,12,3,1,,1,1,,"3,4",,strawberry,orange,cherry,5045
2025-12-04 18:40:47,2025-12-04 18:56:22,0,100,934,1,2025-12-04 18:56:22,R_1ohXSVH1gL1D0Jn,anonymous,EN,1,,4,5,4,3,5,4,5,4,3,5,4,3,1,1,1,4,4,4,1,1,5,4,4,2,1,1,1,4,3,2,5,4,2,4,4,3,1,1,2,1,1,1,5,4,3,"Orange had personal experiences and factual cited sources that made his argument stand out. His ideas helped pave way for discussion. ","blueberry was respectful in his speech and gave good feedback, he calls out orange from using the word illegals which i really liked, i wish i could go back and change one of the multiple choice responses i had put for him because orange lost it here with being disrespectful. ","strawberry outrightly came out with wrong facts about trump man, how can you say this guy is not corrupt and that he is fighting corruption when we all know he is the centre of corruption, that made me mad and with i think strawberry should do his research first next time. ",6,10,5,9,11,8,4,3,12,7,1,2,4,I dont identify with any partty,1,1,,3,,blueberry,orange,strawberry,5054
